INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 1, 1, 1, '2016-08-21');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 68, 20, 68, '2004-05-15');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 69, 21, 69, '2004-08-13');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 70, 22, 70, '2006-05-29');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 71, 23, 71, '2004-03-02');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 72, 24, 72, '2005-07-14');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 73, 25, 73, '2007-12-31');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 74, 26, 74, '2004-09-09');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 75, 27, 75, '2003-10-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 76, 28, 76, '2004-06-18');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 77, 29, 77, '2004-06-12');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 78, 30, 78, '2003-12-16');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 79, 31, 79, '2004-10-09');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 80, 32, 1, '2014-10-30');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 81, 33, 2, '2006-08-25');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 82, 34, 3, '2012-06-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 83, 35, 4, '2010-08-07');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 84, 36, 5, '2004-05-11');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 85, 37, 6, '2004-08-21');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 86, 38, 7, '2006-07-29');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 87, 39, 8, '2004-04-02');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 88, 40, 9, '2012-07-14');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 89, 41, 10, '2013-12-31');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 90, 42, 11, '2012-02-09');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 91, 43, 12, '2013-10-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 92, 44, 13, '2014-02-18');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 93, 45, 14, '2016-06-26');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 94, 46, 15, '2010-12-16');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 95, 47, 16, '2010-02-09');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 96, 48, 17, '2012-11-29');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 97, 1, 18, '2012-08-25');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 98, 2, 19, '2012-07-27');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 99, 3, 20, '2008-09-07');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 100, 4, 21, '2017-05-11');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 101, 5, 22, '2014-08-21');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 102, 6, 23, '2012-07-29');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 103, 7, 24, '2011-03-02');
INSERT INTO eventdate(EventDateId, LocationId, ActId, EventDate)Values( 104, 8, 25, '2004-06-14');
